symbol,currency,categoryName,currencyProfit,quoteId,quoteIdCross,marginMode,profitMode,pipsPrecision,contractSize,exemode,time,expiration,stopsLevel,precision,swapType,stepRuleId,type,instantMaxVolume,groupName,description,longOnly,trailingEnabled,marginHedgedStrong,swapEnable,percentage,bid,ask,high,low,lotMin,lotMax,lotStep,tickSize,tickValue,swapLong,swapShort,leverage,spreadRaw,spreadTable,starting,swap_rollover3days,marginMaintenance,marginHedged,initialMargin,timeString,shortSelling,currencyPair
FDJ.FR_9,EUR,STC,EUR,6,15,104,6,2,1,1,1738946699749,,0,2,2,224,2423,2147483647,France,La Francaise des Jeux SAEM,True,False,False,True,100.0,36.14,36.2,36.24,35.42,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.06,6.0,,0,0,0,0,Fri Feb 07 17:44:59 CET 2025,False,False
TSP.US,USD,STC,USD,6,15,104,6,4,1,1,1712166726910,,0,4,2,12,2436,2147483647,US,CLOSE ONLY / TuSimple Holdings Inc - class A,True,False,False,True,100.0,0.49,0.5,0.0,0.0,1.0,1000000.0,1.0,0.0001,0.0001,0.0,0.0,100.0,0.01,100.0,,0,0,0,0,Wed Apr 03 19:52:06 CEST 2024,False,False
UTDI.DE_4,EUR,STC,EUR,6,4,103,6,3,1,1,1738946695730,,0,3,2,624,10,2147483647,Germany,United Internet AG CFD,False,False,False,True,100.0,16.0,16.08,16.38,16.0,1.0,1000000.0,1.0,0.001,0.001,-0.02062,-0.00438,30.0,0.08,80.0,,0,0,0,0,Fri Feb 07 17:44:55 CET 2025,True,False
WDH.DK_9,DKK,STC,DKK,6,15,104,6,2,1,1,1738944594696,,0,2,2,225,2419,2147483647,Denmark,CLOSE ONLY / William Demant Holding A/S,True,False,False,True,100.0,263.6,264.2,265.6,258.4,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.6,60.0,,0,0,0,0,Fri Feb 07 17:09:54 CET 2025,False,False
IS31.DE,EUR,ETF,EUR,6,15,104,6,4,1,1,1738946695730,,0,4,2,226,3052,2147483647,ETFs,"iShares, UCITS, ACC, EUR",True,False,False,True,100.0,9.876,9.884,9.949,9.77,1.0,1000000.0,1.0,0.0001,0.0001,0.0,0.0,100.0,0.008,80.0,,0,0,0,0,Fri Feb 07 17:44:55 CET 2025,False,False
BNK.FR_9,EUR,ETF,EUR,6,15,104,6,3,1,1,1738946698744,,0,3,2,226,3053,2147483647,ETFs,"Amundi, UCITS, ACC, EUR",True,False,False,True,100.0,38.655,38.705,38.815,38.465,1.0,1000000.0,1.0,0.001,0.001,0.0,0.0,100.0,0.05,50.0,,0,0,0,0,Fri Feb 07 17:44:58 CET 2025,False,False
CEU1.UK_9,GBP,ETF,GBP,6,15,104,6,2,1,1,1738946694727,,0,2,2,226,3055,2147483647,ETFs,"iShares, UCITS, ACC, GBP",True,False,False,True,100.0,157.84,158.0,159.36,153.8,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.16,16.0,,0,0,0,0,Fri Feb 07 17:44:54 CET 2025,False,False
AEDAS.ES,EUR,STC,EUR,6,15,104,6,2,1,1,1738946502305,,0,2,2,223,2431,2147483647,Spain,Aedas Homes SAU,True,False,False,True,100.0,30.0,30.1,30.65,29.7,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.1,10.0,,0,0,0,0,Fri Feb 07 17:41:42 CET 2025,False,False
ESIF.DE,EUR,ETF,EUR,6,15,104,6,3,1,1,1738946670120,,0,3,2,226,3052,2147483647,ETFs,"iShares, UCITS, ACC, EUR",True,False,False,True,100.0,10.93,10.938,10.972,10.5,1.0,1000000.0,1.0,0.001,0.001,0.0,0.0,100.0,0.008,8.0,,0,0,0,0,Fri Feb 07 17:44:30 CET 2025,False,False
AAP.US_4,USD,STC,USD,6,4,103,6,2,1,1,1738961998387,,0,2,2,671,13,2147483647,US,Advance Auto Parts Inc CFD,False,False,False,True,100.0,46.16,46.37,48.64,45.85,1.0,1000000.0,1.0,0.01,0.01,-0.02458,-0.00042,20.0,0.21,21.0,,0,0,0,0,Fri Feb 07 21:59:58 CET 2025,True,False
URBN.US_9,USD,STC,USD,6,15,104,6,2,1,1,1738961996382,,0,2,2,12,2436,2147483647,US,Urban Outfitters Inc,True,False,False,True,100.0,56.62,56.74,58.26,56.62,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.12,12.0,,0,0,0,0,Fri Feb 07 21:59:56 CET 2025,False,False
BGFV.US,USD,STC,USD,6,15,104,6,4,1,1,1738961708728,,0,4,2,12,2436,2147483647,US,Big 5 Sporting Goods Corp,True,False,False,True,100.0,1.47,1.48,1.52,1.45,1.0,1000000.0,1.0,0.0001,0.0001,0.0,0.0,100.0,0.01,100.0,,0,0,0,0,Fri Feb 07 21:55:08 CET 2025,False,False
WPP.UK_9,GBP,STC,GBP,6,15,104,6,3,1,1,1738946692218,,0,3,2,225,2434,2147483647,UK,WPP PLC,True,False,False,True,100.0,7.816,7.818,7.896,7.712,1.0,1000000.0,1.0,0.001,0.001,0.0,0.0,100.0,0.002,2.0,,0,0,0,0,Fri Feb 07 17:44:52 CET 2025,False,False
DFEN.DE,EUR,ETF,EUR,6,15,104,6,3,1,1,1738946694729,,0,3,2,226,3052,2147483647,ETFs,"VanEck, UCITS, ACC, EUR",True,False,False,True,100.0,37.77,37.8,37.87,37.47,1.0,1000000.0,1.0,0.001,0.001,0.0,0.0,100.0,0.03,30.0,,0,0,0,0,Fri Feb 07 17:44:54 CET 2025,False,False
RSP.US_5,USD,ETF,USD,6,4,103,6,2,1,1,1738961998888,,0,2,2,671,70,2147483647,ETF,"Invesco, DIST, USD",False,False,False,True,100.0,179.79,180.36,181.51,179.65,1.0,1000000.0,1.0,0.01,0.01,-0.02458,-0.00042,20.0,0.57,57.0,,0,0,0,0,Fri Feb 07 21:59:58 CET 2025,True,False
FRSX.US,USD,STC,USD,6,15,104,6,4,1,1,1738960433386,,0,4,2,12,2436,2147483647,US,Foresight Autonomous Holdings Ltd - ADR,True,False,False,True,100.0,0.9639,1.05,0.996,0.94,1.0,1000000.0,1.0,0.0001,0.0001,0.0,0.0,100.0,0.0861,861.0,,0,0,0,0,Fri Feb 07 21:33:53 CET 2025,False,False
